"","Point.Forecast","Lo.98","Hi.98"
"Jan 2023",250.593302963662,234.393381886647,266.793224040676
"Feb 2023",250.593302963662,227.683154867173,273.50345106015
"Mar 2023",250.593302963662,222.534216579666,278.652389347657
"Apr 2023",250.593302963662,218.193460809632,282.993145117691
"May 2023",250.593302963662,214.369178205325,286.817427721998
"Jun 2023",250.593302963662,210.911762451617,290.274843475706
"Jul 2023",250.593302963662,207.732340535007,293.454265392316
"Aug 2023",250.593302963662,204.773006770685,296.413599156638
"Sep 2023",250.593302963662,201.993539732617,299.193066194706
"Oct 2023",250.593302963662,199.364654445327,301.821951481996
"Nov 2023",250.593302963662,196.864243117833,304.32236280949
"Dec 2023",250.593302963662,194.47513019567,306.711475731653
"Jan 2024",247.939894335571,189.271936366203,306.607852304938
"Feb 2024",247.939894335571,186.828444755537,309.051343915604
"Mar 2024",247.939894335571,184.478967402139,311.400821269002
"Apr 2024",247.939894335571,182.213421550795,313.666367120346
"May 2024",247.939894335571,180.023407366608,315.856381304533
"Jun 2024",247.939894335571,177.901839110696,317.977949560446
"Jul 2024",247.939894335571,175.8426741592,320.037114511941
"Aug 2024",247.939894335571,173.840709895811,322.03907877533
"Sep 2024",247.939894335571,171.891428788165,323.988359882976
"Oct 2024",247.939894335571,169.99087837262,325.888910298521
"Nov 2024",247.939894335571,168.135576989516,327.744211681625
"Dec 2024",247.939894335571,166.32243882177,329.557349849371
"Jan 2025",243.495001513519,160.287149779019,326.70285324802
"Feb 2025",243.495001513519,158.726586782595,328.263416244444
"Mar 2025",243.495001513519,157.194238586895,329.795764440144
"Apr 2025",243.495001513519,155.68862801227,331.301375014769
"May 2025",243.495001513519,154.208402445326,332.781600581713
"Jun 2025",243.495001513519,152.752319610857,334.237683416182
"Jul 2025",243.495001513519,151.31923536747,335.670767659569
"Aug 2025",243.495001513519,149.908093185834,337.081909841205
"Sep 2025",243.495001513519,148.517915034422,338.472087992617
"Oct 2025",243.495001513519,147.14779344924,339.842209577798
"Nov 2025",243.495001513519,145.796884604825,341.193118422213
"Dec 2025",243.495001513519,144.464402236183,342.525600790855
"Jan 2026",243.141967389038,143.097942142204,343.185992635873
"Feb 2026",243.141967389038,142.094679538497,344.18925523958
"Mar 2026",243.141967389038,141.10128052193,345.182654256147
"Apr 2026",243.141967389038,140.117459767443,346.166475010634
"May 2026",243.141967389038,139.142945446362,347.140989331714
"Jun 2026",243.141967389038,138.177478349201,348.106456428876
"Jul 2026",243.141967389038,137.220811080418,349.063123697659
"Aug 2026",243.141967389038,136.272707318071,350.011227460006
"Sep 2026",243.141967389038,135.332941132063,350.950993646014
"Oct 2026",243.141967389038,134.401296355436,351.882638422641
"Nov 2026",243.141967389038,133.477566003725,352.806368774352
"Dec 2026",243.141967389038,132.561551737983,353.722383040094
