"","x"
"1",15.4829236788197
"2",16.89865684141
"3",16.3954240985675
"4",16.8706240151152
"5",16.8676722105519
"6",17.1085923565954
"7",17.2328663229876
"8",17.4200812469124
"9",17.5808036391148
"10",19.491138913036
"11",17.9347746612295
"12",20.2290859996945
"13",19.518963150504
"14",20.3339777578199
"15",20.3566902691316
"16",20.7936207785066
"17",21.0360695116462
"18",21.3906515423653
"19",21.7034185323019
"20",22.0526164689574
"21",22.3995116938802
"22",23.5039741764652
"23",23.1379127144595
"24",24.4413290439655
"25",24.4773706113094
"26",25.1703047111775
"27",25.5382481629345
"28",26.0998041099567
"29",26.5928769585501
"30",27.1524738734076
"31",27.7118498057154
"32",28.3071289408979
"33",28.9222229610263
"34",29.9056209881343
"35",30.2413478916399
"36",31.3743629134981
