"","Point.Forecast","Lo.95","Hi.95"
"Jan 2026",3.8333,3.6721411912881,3.9944588087119
"Feb 2026",3.8333,3.60905896280405,4.05754103719595
"Mar 2026",3.8333,3.56008029828047,4.10651970171952
"Apr 2026",3.9166,3.60193789154455,4.23126210845545
"May 2026",3.9166,3.56535146171015,4.26784853828985
"Jun 2026",3.9166,3.53223191211761,4.30096808788239
"Jul 2026",3.9166,3.50174807657051,4.33145192342949
"Aug 2026",3.9166,3.47335581248931,4.35984418751069
"Sep 2026",3.9166,3.44667585596084,4.38652414403916
"Oct 2026",3.9166,3.42143134939713,4.41176865060287
"Nov 2026",3.9166,3.39741286232343,4.43578713767657
"Dec 2026",3.9166,3.37445742159676,4.45874257840324
"Jan 2027",3.9166,3.2884568931797,4.5447431068203
"Feb 2027",3.9166,3.21523413217584,4.61796586782416
"Mar 2027",3.9166,3.14889524647303,4.68430475352698
"Apr 2027",3.9999,3.17115175985371,4.8286482401463
"May 2027",3.9999,3.11430595381988,4.88549404618013
"Jun 2027",3.9999,3.06089521829187,4.93890478170813
"Jul 2027",3.9999,3.01036316610742,4.98943683389259
"Aug 2027",3.9999,2.96228913306301,5.037510866937
"Sep 2027",3.9999,2.916345905023,5.08345409497701
"Oct 2027",3.9999,2.87227300391613,5.12752699608387
"Nov 2027",3.9999,2.82985905718952,5.16994094281048
"Dec 2027",3.9999,2.78892973884223,5.21087026115778
