"","Point.Forecast","Lo.95","Hi.95"
"Oct 2026",110.116253587319,107.408208623624,112.824298551014
"Nov 2026",110.115142294327,105.896786204737,114.333498383918
"Dec 2026",110.115105291571,104.776677657529,115.453532925613
"Jan 2027",110.115175474266,104.153251348529,116.077099600004
"Feb 2027",110.115175474266,103.683585165353,116.54676578318
"Mar 2027",110.115175474266,103.245956557799,116.984394390734
"Apr 2027",110.115175474266,102.834585996552,117.395764951981
"May 2027",110.115175474266,102.445247328341,117.785103620192
"Jun 2027",110.115175474266,102.074739392541,118.155611555992
"Jul 2027",110.115175474266,101.720568455176,118.509782493357
"Aug 2027",110.115175474266,101.380746951139,118.849603997394
"Sep 2027",110.115175474266,101.053660355575,119.176690592958
"Oct 2027",112.984704516092,103.607504994544,122.36190403764
"Nov 2027",112.984704516092,103.302107473584,122.6673015586
"Dec 2027",112.984704516092,103.006052297068,122.963356735116
"Jan 2028",112.984704516092,102.718531191582,123.250877840602
"Feb 2028",112.984704516092,102.438846118146,123.530562914038
"Mar 2028",112.984704516092,102.16638930668,123.803019725504
"Apr 2028",112.984704516092,101.900627712369,124.068781319815
"May 2028",112.984704516092,101.641090752767,124.328318279417
"Jun 2028",112.984704516092,101.387360517049,124.582048515135
"Jul 2028",112.984704516092,101.139063864241,124.830345167944
"Aug 2028",112.984704516092,100.895865983237,125.073543048947
"Sep 2028",112.984704516092,100.657465097062,125.311943935123
