"","Point.Forecast","Lo.95","Hi.95"
"Jan 2026",3.95500504334287,3.19410760503942,4.71590248164633
"Feb 2026",3.95500688874956,2.87893543939384,5.03107833810527
"Mar 2026",3.95500886546564,2.63709591191806,5.27292181901323
"Apr 2026",3.95501097349274,2.43321621917551,5.47680572780996
"May 2026",3.95501321283297,2.2535950034681,5.65643142219784
"Jun 2026",3.9550155834886,2.09120537442184,5.81882579255537
"Jul 2026",3.95501808546203,1.94187303686776,5.9681631340563
"Aug 2026",3.95502071875579,1.80287820661751,6.10716323089407
"Sep 2026",3.95502348337253,1.67233171516033,6.23771525158472
"Oct 2026",3.95502637931505,1.5488580704406,6.3611946881895
"Nov 2026",3.95502940658627,1.43141888709685,6.47863992607568
"Dec 2026",3.9550325651911,1.31920744302885,6.59085768735335
"Jan 2027",3.88733620569268,1.14388255586151,6.63078985552385
"Feb 2027",3.88733639874786,1.04070064656357,6.73397215093215
"Mar 2027",3.88733669750917,0.941130284071456,6.83354311094688
"Apr 2027",3.88733710197686,0.844816880033709,6.92985732392001
"May 2027",3.88733761215134,0.751460332357248,7.02321489194542
"Jun 2027",3.88733822803312,0.660803977970165,7.11387247809608
"Jul 2027",3.88733894962283,0.572626268726654,7.202051630519
"Aug 2027",3.88733977692119,0.486734392378057,7.28794516146432
"Sep 2027",3.88734070992903,0.402959310374947,7.37172210948311
"Oct 2027",3.88734174864729,0.321151845868913,7.45353165142568
"Nov 2027",3.88734289307703,0.24117956239578,7.53350622375828
"Dec 2027",3.88734414322004,0.162924246270065,7.61176404017002
