"","Point.Forecast","Lo.95","Hi.95"
"Jan 2026",6.91666,2.3922261082028,11.4410938917972
"Feb 2026",6.91666,0.518144228159922,13.3151757718401
"Mar 2026",9.21666,1.38011062392067,17.0532093760793
"Apr 2026",6.91666,-2.13220778359439,15.9655277835944
"May 2026",6.91666,-3.20028174176246,17.0336017417625
"Jun 2026",6.91666,-4.16589440985781,17.9992144098578
"Jul 2026",22.58366,10.6131330989525,34.5541869010475
"Aug 2026",23.06366,10.2666284563198,35.8606915436802
"Sep 2026",20.88366,7.31035832460842,34.4569616753916
"Oct 2026",18.88366,4.57614377906105,33.191176220939
"Nov 2026",9.21666,-5.78918960785874,24.2225096078587
"Dec 2026",6.91666,-8.75643875215866,22.5897587521587
"Jan 2027",7.51632,-8.79675838932188,23.8293983893219
"Feb 2027",7.51632,-9.41256149221335,24.4452014922134
"Mar 2027",7.51632,-10.0067371139469,25.039377113947
"Apr 2027",7.51632,-10.5814155671888,25.6140555671888
"May 2027",7.51632,-11.1383988320042,26.1710388320042
"Jun 2027",7.51632,-11.6792273155202,26.7118673155202
"Jul 2027",7.51632,-12.2052301110744,27.2378701110744
"Aug 2027",7.51632,-12.7175634835249,27.7502034835249
"Sep 2027",7.51632,-13.2172407859843,28.2498807859843
"Oct 2027",7.51632,-13.7051560303648,28.7377960303648
"Nov 2027",7.51632,-14.1821026834254,29.2147426834254
"Dec 2027",7.51632,-14.6487888197156,29.6814288197156
