"","Point.Forecast","Lo.95","Hi.95"
"Jan 2023",6.53749394111868,4.22583353771824,8.84915434451912
"Feb 2023",6.49784794809323,4.10191510216363,8.89378079402283
"Mar 2023",6.48704561604563,4.08497429729413,8.88911693479713
"Apr 2023",6.4841023078129,4.08157589583546,8.88662871979033
"May 2023",8.33330034548525,5.93074015094227,10.7358605400282
"Jun 2023",7.33308183504594,4.930519132513,9.73564453757889
"Jul 2023",6.03302229757088,3.63045940884551,8.43558518629624
"Aug 2023",6.03300607541257,3.63044317286433,8.43556897796081
"Sep 2023",6.03300165536588,3.63043875179143,8.43556455894032
"Oct 2023",6.03300045103705,3.63043754738642,8.43556335468768
"Nov 2023",6.03300012289393,3.63043721923765,8.43556302655022
"Dec 2023",6.03300003348487,3.63043712982817,8.43556293714158
"Jan 2024",7.15000000912361,4.74743710546688,9.55256291278035
"Feb 2024",7.15000000248591,4.74743709882917,9.55256290614265
"Mar 2024",7.15000000067733,4.7474370970206,9.55256290433407
"Apr 2024",7.15000000018455,4.74743709652781,9.55256290384129
"May 2024",7.15000000005029,4.74743709639355,9.55256290370702
"Jun 2024",7.1500000000137,4.74743709635696,9.55256290367044
"Jul 2024",7.15000000000373,4.74743709634699,9.55256290366047
"Aug 2024",7.15000000000102,4.74743709634428,9.55256290365776
"Sep 2024",7.15000000000028,4.74743709634354,9.55256290365702
"Oct 2024",7.15000000000008,4.74743709634334,9.55256290365682
"Nov 2024",7.15000000000002,4.74743709634328,9.55256290365676
"Dec 2024",8.15000000000001,5.74743709634327,10.5525629036567
"Jan 2025",6.483,4.08043709634326,8.88556290365674
"Feb 2025",6.483,4.08043709634326,8.88556290365674
"Mar 2025",6.483,4.08043709634326,8.88556290365674
"Apr 2025",6.483,4.08043709634326,8.88556290365674
"May 2025",6.033,3.63043709634326,8.43556290365674
"Jun 2025",6.033,3.63043709634326,8.43556290365674
"Jul 2025",6.033,3.63043709634326,8.43556290365674
"Aug 2025",6.033,3.63043709634326,8.43556290365674
"Sep 2025",6.033,3.63043709634326,8.43556290365674
"Oct 2025",4.333,1.93043709634326,6.73556290365674
"Nov 2025",5.333,2.93043709634326,7.73556290365674
"Dec 2025",6.033,3.63043709634326,8.43556290365674
"Jan 2026",6.483,4.08043709634326,8.88556290365674
"Feb 2026",9.783,7.38043709634326,12.1855629036567
"Mar 2026",6.483,4.08043709634326,8.88556290365674
"Apr 2026",8.333,5.93043709634326,10.7355629036567
"May 2026",6.033,3.63043709634326,8.43556290365674
"Jun 2026",6.033,3.63043709634326,8.43556290365674
"Jul 2026",6.483,4.08043709634326,8.88556290365674
"Aug 2026",6.483,4.08043709634326,8.88556290365674
"Sep 2026",6.483,4.08043709634326,8.88556290365674
"Oct 2026",6.483,4.08043709634326,8.88556290365674
"Nov 2026",6.483,4.08043709634326,8.88556290365674
"Dec 2026",6.483,4.08043709634326,8.88556290365674
"Jan 2027",6.53749394111868,3.20341500883813,9.87157287339922
"Feb 2027",6.49784794809323,3.10479582526461,9.89090007092185
"Mar 2027",6.48704561604563,3.08965615847735,9.8844350736139
"Apr 2027",6.4841023078129,3.08639106842296,9.88181354720283
"May 2027",8.33330034548525,4.93556521831158,11.7310354726589
"Jun 2027",7.33308183504594,3.9353449344561,10.7308187356358
"Jul 2027",6.03302229757088,2.63528526532311,9.43075932981864
"Aug 2027",6.03300607541257,2.63526903339056,9.43074311743459
"Sep 2027",6.03300165536588,2.63526461261822,9.43073869811353
"Oct 2027",6.03300045103705,2.63526340823553,9.43073749383858
"Nov 2027",6.03300012289393,2.63526308008841,9.43073716569946
"Dec 2027",6.03300003348487,2.63526299067905,9.43073707629069
