ID,Market_and_Exchange_Names,Report_Date_as_YYYY_MM_DD,YYYY Report Week WW,Contract_Market_Name,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Commodity Name,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,Open_Interest_Old,Open_Interest_Other,Change_in_Open_Interest_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Prod_Merc_Long_Other,Contract_Units,CFTC_SubGroup_Code,COMMODITY_NAME,COMMODITY_SUBGROUP_NAME,COMMODITY_GROUP_NAME
220802080732F,SUGAR NO. 11 - ICE FUTURES U.S.,08-02-22 0:00,2022 Report Week 31,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"760,093","255,565","289,526","129,048","130,316","70,011","16,028","694,895","695,686","760,093",0,"37,624","37,302","36,440",100,33.6,38.1,91.4,91.5,100,33.6,38.1,100,0,0,58,49,199,178,58,49,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220809080732F,SUGAR NO. 11 - ICE FUTURES U.S.,08-09-22 0:00,2022 Report Week 32,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"765,669","270,231","298,748","128,000","130,091","63,763","17,449","697,328","701,871","765,669",0,"5,576","2,433","6,185",100,35.3,39,91.1,91.7,100,35.3,39,100,0,0,57,47,189,173,57,47,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220816080732F,SUGAR NO. 11 - ICE FUTURES U.S.,08/16/2022 12:00:00 AM,2022 Report Week 33,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"737,535","253,337","305,683","127,826","137,317","52,326","19,667","668,935","680,802","737,535",0,"-28,134","-28,393","-21,069",100,34.3,41.4,90.7,92.3,100,34.3,41.4,100,0,0,55,52,187,178,55,52,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220823080732F,SUGAR NO. 11 - ICE FUTURES U.S.,08/23/2022 12:00:00 AM,2022 Report Week 34,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"750,335","260,121","311,005","128,424","137,658","58,574","21,468","686,041","688,072","750,335",0,"12,800","17,106","7,270",100,34.7,41.4,91.4,91.7,100,34.7,41.4,100,0,0,59,53,195,180,59,53,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220726080732F,SUGAR NO. 11 - ICE FUTURES U.S.,07/26/2022 12:00:00 AM,2022 Report Week 30,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"722,469","231,591","288,677","130,698","139,368","64,408","17,557","657,593","659,246","722,469",0,"18,855","20,476","7,449",100,32.1,40,91,91.2,100,32.1,40,100,0,0,58,54,196,178,58,54,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220719080732F,SUGAR NO. 11 - ICE FUTURES U.S.,07/19/2022 12:00:00 AM,2022 Report Week 29,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"703,614","213,285","343,297","125,025","136,855","49,777","17,949","637,117","651,797","703,614",0,"2,470","-1,090","3,680",100,30.3,48.8,90.5,92.6,100,30.3,48.8,100,0,0,58,54,202,161,58,54,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220712080732F,SUGAR NO. 11 - ICE FUTURES U.S.,07-12-22 0:00,2022 Report Week 28,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"701,144","211,131","324,836","128,608","130,682","52,244","17,743","638,207","648,117","701,144",0,"-12,101","-9,900","-1,733",100,30.1,46.3,91,92.4,100,30.1,46.3,100,0,0,59,52,201,166,59,52,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220705080732F,SUGAR NO. 11 - ICE FUTURES U.S.,07-05-22 0:00,2022 Report Week 27,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"713,245","210,383","305,336","134,087","124,389","58,169","20,209","648,107","649,850","713,245",0,"-21,079","-19,404","-27,829",100,29.5,42.8,90.9,91.1,100,29.5,42.8,100,0,0,60,51,204,171,60,51,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220628080732F,SUGAR NO. 11 - ICE FUTURES U.S.,06/28/2022 12:00:00 AM,2022 Report Week 26,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"734,324","206,354","345,477","136,396","130,150","61,409","11,767","667,511","677,679","734,324",0,"-45,449","-42,022","-50,023",100,28.1,47,90.9,92.3,100,28.1,47,100,0,0,59,52,203,167,59,52,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220621080732F,SUGAR NO. 11 - ICE FUTURES U.S.,06/21/2022 12:00:00 AM,2022 Report Week 25,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"779,773","226,500","411,113","137,859","134,526","55,050","10,897","709,533","727,702","779,773",0,"-21,033","-10,318","-19,672",100,29,52.7,91,93.3,100,29,52.7,100,0,0,59,57,201,164,59,57,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220614080732F,SUGAR NO. 11 - ICE FUTURES U.S.,06/14/2022 12:00:00 AM,2022 Report Week 24,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"800,806","224,497","406,057","136,066","152,512","47,694","12,002","719,851","747,374","800,806",0,"-49,008","-39,649","-51,219",100,28,50.7,89.9,93.3,100,28,50.7,100,0,0,58,60,205,176,58,60,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220607080732F,SUGAR NO. 11 - ICE FUTURES U.S.,06-07-22 0:00,2022 Report Week 23,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"849,814","231,260","438,892","131,779","158,643","45,950","17,331","759,500","798,593","849,814",0,"1,351",428,449,100,27.2,51.6,89.4,94,100,27.2,51.6,100,0,0,57,58,213,181,57,58,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220531080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05/31/2022 12:00:00 AM,2022 Report Week 22,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"848,463","224,986","440,755","134,678","159,661","43,505","25,543","759,072","798,144","848,463",0,"1,043","2,621","-4,270",100,26.5,51.9,89.5,94.1,100,26.5,51.9,100,0,0,59,58,215,171,59,58,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220524080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05/24/2022 12:00:00 AM,2022 Report Week 21,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"847,420","222,049","449,540","133,777","161,736","40,929","23,211","756,451","802,414","847,420",0,"22,139","25,627","22,846",100,26.2,53,89.3,94.7,100,26.2,53,100,0,0,58,58,217,172,58,58,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220517080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05/17/2022 12:00:00 AM,2022 Report Week 20,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"825,281","222,657","442,111","133,219","159,139","38,574","19,930","730,824","779,568","825,281",0,"27,828","19,500","34,818",100,27,53.6,88.6,94.5,100,27,53.6,100,0,0,58,57,211,165,58,57,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220510080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05-10-22 0:00,2022 Report Week 19,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"797,453","207,676","410,308","133,722","151,701","43,239","11,794","711,324","744,750","797,453",0,"-21,174","-22,281","-23,657",100,26,51.5,89.2,93.4,100,26,51.5,100,0,0,57,56,206,164,57,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220503080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05-03-22 0:00,2022 Report Week 18,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"818,627","201,385","424,252","135,705","149,232","40,079","15,657","733,605","768,407","818,627",0,"-27,794","-23,903","-27,577",100,24.6,51.8,89.6,93.9,100,24.6,51.8,100,0,0,57,56,211,167,57,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220426080732F,SUGAR NO. 11 - ICE FUTURES U.S.,04/26/2022 12:00:00 AM,2022 Report Week 17,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"846,421","213,154","457,456","134,197","150,920","38,080","15,040","757,508","795,984","846,421",0,"-63,201","-46,549","-64,028",100,25.2,54,89.5,94,100,25.2,54,100,0,0,57,54,206,162,57,54,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220419080732F,SUGAR NO. 11 - ICE FUTURES U.S.,04/19/2022 12:00:00 AM,2022 Report Week 16,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"909,622","241,415","511,731","134,019","159,173","31,982","21,417","804,057","860,012","909,622",0,"-6,508","-1,228","-7,037",100,26.5,56.3,88.4,94.5,100,26.5,56.3,100,0,0,62,62,224,168,62,62,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
